time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
1.2498,0.0,0.0,1.0,0.0,-0.071,1.6,-8.635
1.2639,0.0,0.0,1.0,0.0,-0.072,1.6,-8.634
1.2778,0.0,0.0,1.0,0.0,-0.072,1.6,-8.634
1.2914,0.0,0.0,1.0,0.0,-0.072,1.6,-8.634
1.3052,0.0,0.0,1.0,0.0,-0.073,1.6,-8.633
1.3199,0.0,0.0,1.0,0.0,-0.073,1.6,-8.633
1.3334,0.0,0.0,1.0,0.0,-0.072,1.6,-8.633
1.3475,0.0,0.0,1.0,0.0,-0.072,1.6,-8.632
1.3615,0.0,0.0,1.0,0.0,-0.072,1.6,-8.632
1.3746,0.0,0.0,1.0,0.0,-0.072,1.6,-8.632
1.3892,0.0,0.0,1.0,0.0,-0.072,1.6,-8.632
1.4026,0.0,0.0,1.0,0.0,-0.072,1.6,-8.632
1.4162,0.0,0.0,1.0,0.0,-0.072,1.6,-8.632
1.4315,0.0,0.0,1.0,0.0,-0.072,1.6,-8.631
1.4443,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.4597,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.4716,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.4854,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.4995,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.5135,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.5276,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.5417,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.5552,0.0,0.0,1.0,0.0,-0.071,1.6,-8.631
1.569,0.0,0.0,1.0,0.0,-0.07,1.6,-8.631
1.584,0.0,0.0,1.0,0.0,-0.07,1.6,-8.631
1.597,0.0,0.0,1.0,0.0,-0.07,1.6,-8.631
1.611,0.0,0.0,1.0,0.0,-0.07,1.6,-8.631
1.6247,0.0,0.0,1.0,0.0,-0.07,1.6,-8.63
1.6408,0.0,0.0,1.0,0.0,-0.07,1.6,-8.631
1.6528,0.0,0.0,1.0,0.0,-0.07,1.6,-8.631
1.6668,0.0,0.0,1.0,0.0,-0.069,1.6,-8.631
1.6805,0.0,0.0,1.0,0.0,-0.069,1.6,-8.632
1.6945,0.0,0.0,1.0,0.0,-0.069,1.6,-8.632
1.7096,0.0,0.0,1.0,0.0,-0.069,1.6,-8.632
1.7223,0.0,0.0,1.0,0.0,-0.068,1.6,-8.633
1.7359,0.0,0.0,1.0,0.0,-0.068,1.6,-8.633
1.751,0.0,0.0,1.0,0.0,-0.068,1.6,-8.633
1.7637,0.0,0.0,1.0,0.0,-0.068,1.6,-8.634
1.7773,0.0,0.0,1.0,0.0,-0.067,1.6,-8.634
1.791,0.0,0.0,1.0,0.0,-0.067,1.6,-8.634
1.8046,0.0,0.0,1.0,0.0,-0.066,1.6,-8.635
1.8192,0.0,0.0,1.0,0.0,-0.066,1.6,-8.635
